NOMINATION_ID,GT_SAQ_MILESTONE,GT_SAQ_MILESTONE_CATEGORY
N26-EXP20-1209,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1565,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-3031,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-3032,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-0472,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-2176,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-2513,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-4365,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-3042,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-3044,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0612,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-3068,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-3069,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0613,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-3071,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-3072,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-3076,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-3077,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1513,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-3108,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-0007,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-1788,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-3136,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-3137,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-3138,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1566,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-3145,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-3146,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-3147,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-3159,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-3160,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1514,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-0481,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-2185,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0641,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-0015,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-0681,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-1796,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-2342,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-2592,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1568,CLEAN A/RTB,RTB'D YR 2021
MOB-TRFS20-0047,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3211,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1569,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-3217,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-3218,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0646,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3533,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3068,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-0021,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-0483,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-2187,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-2518,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1517,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-4489,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1518,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-0489,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-2192,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-0036,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-1812,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-2595,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-3274,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-3275,CLEAN A/RTB,RTB'D YR 2021
MOB-TRFS20-0049,CLEAN A/RTB,RTB'D YR 2021
N35-EXP20-0025,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-0162,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-1662,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1519,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0662,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-3311,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1570,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1571,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-3324,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-3325,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP20-0345,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP20-0267,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP20-0108,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-0172,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-1671,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP20-0109,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-0044,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-1820,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-2356,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-3370,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-3371,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-0051,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-1826,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-2358,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP20-1183,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1621,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1572,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1573,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0074,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3237,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-0196,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-0033,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP20-0463,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-3430,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1198,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-1154,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-0926,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP20-0956,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1521,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1622,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-3450,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-0498,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-2198,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-2525,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-0064,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-1835,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-2365,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-2599,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP20-0998,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-0324,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-0939,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0583,CLEAN A/RTB,RTB'D YR 2021
MOB-TRFS20-0092,CLEAN A/RTB,RTB'D YR 2021
N35-EXP20-0031,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-2395,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-0217,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-2055,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0103,CLEAN A/RTB,RTB'D YR 2021
WTT-EXP20-0012,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-0070,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-1840,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-2368,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-2600,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1575,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3556,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3080,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-0509,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-1109,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1576,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP20-2367,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-4774,CLEAN A/RTB,RTB'D YR 2021
RED-EXP20-2425,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-1298,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-1572,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-2687,CLEAN A/RTB,RTB'D YR 2021
N35-EXP20-0034,CLEAN A/RTB,RTB'D YR 2021
MIT-EXP20-0008,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1522,CLEAN A/RTB,RTB'D YR 2021
MIT-EXP20-0009,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-2401,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-0239,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-2066,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP20-2224,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-2070,CLEAN A/RTB,RTB'D YR 2021
MIT-EXP20-0010,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1577,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0121,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-0260,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-1708,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-1444,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1645,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-0375,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-2095,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-1309,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1578,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1624,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1625,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1579,CLEAN A/RTB,RTB'D YR 2021
MIT-EXP20-0012,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0138,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-2414,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-0291,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-1722,CLEAN A/RTB,RTB'D YR 2021
L21-EXP20-4466,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1526,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0743,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-0296,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-1725,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0744,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-0101,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-0744,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-1860,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-2603,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0146,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3769,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3569,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0147,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1626,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1581,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-0102,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-1861,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-2604,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-0104,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-1863,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-2378,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1527,CLEAN A/RTB,RTB'D YR 2021
MOB-TRFS20-0044,CLEAN A/RTB,RTB'D YR 2021
N35-EXP20-0064,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0767,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP20-1393,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0769,CLEAN A/RTB,RTB'D YR 2021
N35-EXP20-0071,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3574,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3287,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1628,CLEAN A/RTB,RTB'D YR 2021
N35-EXP20-0076,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-2827,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-2616,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-0988,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-0336,CLEAN A/RTB,RTB'D YR 2021
N35-EXP20-0079,CLEAN A/RTB,RTB'D YR 2021
MIT-EXP20-0016,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0584,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1528,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0182,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0183,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1582,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1241,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-4906,CLEAN A/RTB,RTB'D YR 2021
MOB-TRFS20-0054,CLEAN A/RTB,RTB'D YR 2021
N35-EXP20-0087,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-0353,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-1753,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0776,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP20-2234,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP20-0288,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP20-0150,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-4724,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0201,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-0382,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-2100,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1648,CLEAN A/RTB,RTB'D YR 2021
MOB-TRFS20-0081,CLEAN A/RTB,RTB'D YR 2021
MOB-TRFS20-0055,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-0125,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-1880,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-1331,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1583,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0215,CLEAN A/RTB,RTB'D YR 2021
MOB-TRFS20-0048,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3313,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1584,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0233,CLEAN A/RTB,RTB'D YR 2021
WTT-EXP19-0188,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-2299,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-1770,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0801,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1531,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0808,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-2434,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-2856,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-1489,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0818,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP20-2604,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-2438,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-2305,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP20-0596,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0823,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3780,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3599,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3097,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3038,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1532,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP20-1783,CLEAN A/RTB,RTB'D YR 2021
WTT-EXP19-0800,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-2308,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP20-1455,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP20-0606,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0840,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3782,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3602,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3337,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3040,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-2440,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-0466,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-1504,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-4854,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-1026,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-1799,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-1027,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-0473,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-2129,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-4661,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1630,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0269,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-0478,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-1801,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-1507,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-0172,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-1914,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1631,CLEAN A/RTB,RTB'D YR 2021
N35-EXP20-0114,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3170,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3609,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3100,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1533,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0863,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-0493,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-1810,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP20-2269,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0294,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0877,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1585,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1535,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0884,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-4551,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-4891,CLEAN A/RTB,RTB'D YR 2021
N35-EXP20-0128,CLEAN A/RTB,RTB'D YR 2021
MIT-EXP20-0021,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1166,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-2885,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-2886,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0908,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-1041,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-0550,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-1836,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0319,CLEAN A/RTB,RTB'D YR 2021
WTT-EXP20-0042,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3931,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0926,CLEAN A/RTB,RTB'D YR 2021
WTT-EXP20-0045,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-4553,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3971,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0329,CLEAN A/RTB,RTB'D YR 2021
WTT-EXP20-0046,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1540,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1587,CLEAN A/RTB,RTB'D YR 2021
WTT-EXP19-0828,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-2330,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-1537,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP20-2600,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3638,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3377,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1588,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1589,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-0589,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-2267,CLEAN A/RTB,RTB'D YR 2021
WTT-EXP19-0834,CLEAN A/RTB,RTB'D YR 2021
N35-EXP20-0146,CLEAN A/RTB,RTB'D YR 2021
N35-EXP20-0150,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3646,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3386,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1590,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1591,CLEAN A/RTB,RTB'D YR 2021
MOB-TRFS20-0046,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1592,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1544,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-0195,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-1934,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1545,CLEAN A/RTB,RTB'D YR 2021
MIT-EXP20-0025,CLEAN A/RTB,RTB'D YR 2021
MIT-EXP20-0027,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-0415,CLEAN A/RTB,RTB'D YR 2021
3GS-EXP20-2129,CLEAN A/RTB,RTB'D YR 2021
MOB-TRFS20-0040,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0378,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1594,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1547,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-0976,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3799,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3652,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3115,CLEAN A/RTB,RTB'D YR 2021
MOB-EXP19-3049,CLEAN A/RTB,RTB'D YR 2021
N26-EXP20-1595,CLEAN A/RTB,RTB'D YR 2021
